brand,model,trim,condition,category,registration_date,kilometers,url,configuration_url,engine_size,fuel_type,transmission,power_kw,power_cv,seats,doors,status,visibility,images,exterior_color,interior_color,wheels,pair_to_save_daily,standard_equipment,pricing_3y_monthly_avg,pricing_3y_final_min,pricing_3y_final_max,pricing_3y_down_min,pricing_3y_down_max,pricing_3y_rate_1_min,pricing_3y_rate_1_max,pricing_3y_rate_2_min,pricing_3y_rate_2_max,pricing_3y_rate_3_min,pricing_3y_rate_3_max,pricing_4y_monthly_avg,pricing_4y_final_min,pricing_4y_final_max,pricing_4y_down_min,pricing_4y_down_max,pricing_4y_rate_1_min,pricing_4y_rate_1_max,pricing_4y_rate_2_min,pricing_4y_rate_2_max,pricing_4y_rate_3_min,pricing_4y_rate_3_max,pricing_4y_rate_4_min,pricing_4y_rate_4_max,pricing_5y_monthly_avg,pricing_5y_final_min,pricing_5y_final_max,pricing_5y_down_min,pricing_5y_down_max,pricing_5y_rate_1_min,pricing_5y_rate_1_max,pricing_5y_rate_2_min,pricing_5y_rate_2_max,pricing_5y_rate_3_min,pricing_5y_rate_3_max,pricing_5y_rate_4_min,pricing_5y_rate_4_max,pricing_5y_rate_5_min,pricing_5y_rate_5_max,accessories,tire_options
Peugeot,208,Style,km0,city_car,2024-12-01,1,https://www.brescianiautomobilisrl.it/auto/km0/bergamo/peugeot/208/benzina/208-puretech-75-stop-start-5-porte-style/9392176/,https://vendite.whipair.it/peugeot-208-style-km0-1-configurazione-riepilogo-ordine/,1199,benzina,automatic,,110,5,5,available,visible_orderable,,Grigio artense,Tessuto Renzo / Rimini,"Cerchi in lamiera da 16"" monti con copricerchio",12.00,"6 Airbags (frontali, laterali, a tendina anteriori e posteriori)|6 speakers - 2 tweeters & 2 woofers at the front, 2 speakers at the rear|ABS (Anti-lock Braking System) & EBD ( Electronic Braking Distribution)|AFU - Assistenza alla frenata di emergenza|ASR - Sistema antipattinamento (controllo el. di trazione)|Appoggiabraccia delle porte anteriori e posteriori in tessuto Rimini Mistral|Appoggiatesta regolabili anteriori (x2) e posteriori (x3)|Badge Style nel montante posteriore|Calandra Nera con inserti a sviluppo orizzontale|Calotte specchietti retrovisori Nero brillante|Cambio manuale a 5 marce|Chiusura automatica porte quando la vettura è in movimento|Cinture di sicurezza anteriori con pretensionatore e limitatore di sforzo|Cinture di sicurezza anteriori e posteriori con sensore allaccio passeggero|Climatizzatore manuale monozona|Correzione automatica assetto fari|Dettagli superiori in tinta carrozzeria|Distribuzione elettronica della forza frenante (REF)|ESP con aiuto alla partenza in salita|Finitura nera lucida tra le luci posteriori|Fissaggi ISOFIX e Top Tether per i posti laterali posteriori|Inserti della griglia inferiore neri|Kit riparazione pneumatici|Luce bagagliaio|Luci plafoniera ( 1 centrale, 2 luci di lettura)|Luci posteriori esclusive a 3 artigli con stop a LED|Maniglie esterne in tinta carrozzeria|Monitoraggio della corretta pressione degli pneumatici|Pack Safety|Panchetta posteriore ribaltabile 1/3 - 2/3|Pannelli porte anteriori con inserti effetto Carbonio|Peugeot Connect ONE ( SOS & Assistance e Teleservices)|Peugeot i-Cockpit® analogico con display centrale 3,5"" a matrice attiva|Plancia con inserti effetto Carbonio e maniglie pannelli porta Nero brillante con inserti cromati|Profili dei vetri nero opaco|Proiettori anteriori Peugeot LED Technology con luci diurne LED a 3 artigli|Retrovisore interno manuale giorno/notte|Retrovisori esterni riscaldabili, regolabili e ribaltabili manualmente|Sedile lato guida regolabile manualmente in altezza|Sensori di parcheggio posteriori con supporto grafico e sonoro|Servosterzo elettrico|Spoiler nero lucido|Telecomando 3 tasti con chiave standard|Tergilavalunotto|Touchscreen 10'' con Radio & Bluetooth telefono|Visibility Pack - Accensione luci automatica con sensore crepuscolare|Volante compatto in pelle pieno fiore con nuovo Logo e comandi multimedia integrali|Volante regolabile in altezza e profondità",522.98,6853.10,20787.16,16900.00,19943.00,559.95,177.96,522.98,177.96,486.01,177.96,450.52,6051.63,19689.42,8500.00,18845.00,542.94,197.92,505.97,197.92,432.03,197.92,321.13,197.92,392.13,6073.44,18084.33,8500.00,17240.00,488.25,217.17,451.28,217.17,377.35,217.17,340.38,217.17,303.41,217.17,"Infotainement (media display):300.00|Gancio traino:440.00|Antenna shark fin:93.53|Adattatori per portasci su barre del tetto:46.53|Adattatori per portabiciclette sulle barre del tetto:40.00|Portabici per una bicicletta:192.00|Vano padiglione rigido - 400 litri - nero in rilievo:320.00|Vano padiglione rigido - 480 litri - nero in rilievo:354.00|Portasci per quattro paia di sci sulle barre trasversali:280.00|Portasci per sei paia di sci sulle barre trasversali:343.00|Barre tetto:300.00|Telecamera di retromarcia:165.00|Assistenza al parcheggio posteriore:165.00|Allarme:266.00|Comando parcheggio assistito anteriore:165.00|Organizzatore bagaglio rimovibile:46.53|Kit fumatori:70.03|Tappetini in tessuto comfort Sandero:70.03|Rete portaoggetti del bagagliaio verticale:46.53|Protezione modulare easyflex per bagagliaio:165.00|Tappetini per pianale in tessuto premium Sandero:117.03|Vano bagagliaio Sandero:141.00|Soglie porta anteriori Sandero:70.03|Soglie porta anteriori illuminate Sandero:141.00|Soglia del bagagliaio in acciaio inossidabile:70.03","all_season:22.23|summer_winter:31.95"
Peugeot,208,Style,used,city_car,2025-07-01,4491,https://www.autoscout24.it/annunci/peugeot-208-208-ii-2023-1-2-hybrid-style-110cv-e-dcs-6-elettrica-benzina-grigio-24d32619-8000-481b-b70c-7694e5c3ed2d,https://vendite.whipair.it/peugeot-208-style-usato-2-configurazione-riepilogo-ordine/,1199,benzina,automatic,,110,5,5,unavailable,hidden,,Grigio artense,Tessuto Renzo / Rimini,"Cerchi in lamiera da 16"" monti con copricerchio",13.00,"6 Airbags (frontali, laterali, a tendina anteriori e posteriori)|6 speakers - 2 tweeters & 2 woofers at the front, 2 speakers at the rear|ABS (Anti-lock Braking System) & EBD ( Electronic Braking Distribution)|AFU - Assistenza alla frenata di emergenza|ASR - Sistema antipattinamento (controllo el. di trazione)|Appoggiabraccia delle porte anteriori e posteriori in tessuto Rimini Mistral|Appoggiatesta regolabili anteriori (x2) e posteriori (x3)|Badge Style nel montante posteriore|Calandra Nera con inserti a sviluppo orizzontale|Calotte specchietti retrovisori Nero brillante|Cambio manuale a 5 marce|Chiusura automatica porte quando la vettura è in movimento|Cinture di sicurezza anteriori con pretensionatore e limitatore di sforzo|Cinture di sicurezza anteriori e posteriori con sensore allaccio passeggero|Climatizzatore manuale monozona|Correzione automatica assetto fari|Dettagli superiori in tinta carrozzeria|Distribuzione elettronica della forza frenante (REF)|ESP con aiuto alla partenza in salita|Finitura nera lucida tra le luci posteriori|Fissaggi ISOFIX e Top Tether per i posti laterali posteriori|Inserti della griglia inferiore neri|Kit riparazione pneumatici|Luce bagagliaio|Luci plafoniera ( 1 centrale, 2 luci di lettura)|Luci posteriori esclusive a 3 artigli con stop a LED|Maniglie esterne in tinta carrozzeria|Monitoraggio della corretta pressione degli pneumatici|Pack Safety|Panchetta posteriore ribaltabile 1/3 - 2/3|Pannelli porte anteriori con inserti effetto Carbonio|Peugeot Connect ONE ( SOS & Assistance e Teleservices)|Peugeot i-Cockpit® analogico con display centrale 3,5"" a matrice attiva|Plancia con inserti effetto Carbonio e maniglie pannelli porta Nero brillante con inserti cromati|Profili dei vetri nero opaco|Proiettori anteriori Peugeot LED Technology con luci diurne LED a 3 artigli|Retrovisore interno manuale giorno/notte|Retrovisori esterni riscaldabili, regolabili e ribaltabili manualmente|Sedile lato guida regolabile manualmente in altezza|Sensori di parcheggio posteriori con supporto grafico e sonoro|Servosterzo elettrico|Spoiler nero lucido|Telecomando 3 tasti con chiave standard|Tergilavalunotto|Touchscreen 10'' con Radio & Bluetooth telefono|Visibility Pack - Accensione luci automatica con sensore crepuscolare|Volante compatto in pelle pieno fiore con nuovo Logo e comandi multimedia integrali|Volante regolabile in altezza e profondità",576.92,7076.72,23503.11,18950.00,22557.00,618.37,195.12,576.92,195.12,535.47,195.12,493.25,6166.06,22199.45,8500.00,21253.00,596.88,215.08,555.43,215.08,472.52,215.08,348.16,215.08,425.45,6240.11,20388.44,8500.00,19442.00,533.23,234.33,491.77,234.33,408.87,234.33,367.41,234.33,325.96,234.33,"Infotainement (media display):300.00|Gancio traino:440.00|Antenna shark fin:93.53|Adattatori per portasci su barre del tetto:46.53|Adattatori per portabiciclette sulle barre del tetto:40.00|Portabici per una bicicletta:192.00|Vano padiglione rigido - 400 litri - nero in rilievo:320.00|Vano padiglione rigido - 480 litri - nero in rilievo:354.00|Portasci per quattro paia di sci sulle barre trasversali:280.00|Portasci per sei paia di sci sulle barre trasversali:343.00|Barre tetto:300.00|Telecamera di retromarcia:165.00|Assistenza al parcheggio posteriore:165.00|Allarme:266.00|Comando parcheggio assistito anteriore:165.00|Organizzatore bagaglio rimovibile:46.53|Kit fumatori:70.03|Tappetini in tessuto comfort Sandero:70.03|Rete portaoggetti del bagagliaio verticale:46.53|Protezione modulare easyflex per bagagliaio:165.00|Tappetini per pianale in tessuto premium Sandero:117.03|Vano bagagliaio Sandero:141.00|Soglie porta anteriori Sandero:70.03|Soglie porta anteriori illuminate Sandero:141.00|Soglia del bagagliaio in acciaio inossidabile:70.03","all_season:22.23|summer_winter:31.95"
